,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
258,41,81,1,24,42,100,0,0,57,54,0,100,True,,100.0
259,31,80,0,30,40,87,1,0,22,79,0,100,True,0.0,
260,41,90,0,42,42,100,100,0,67,100,73,100,True,0.0,
261,26,93,0,17,30,98,68,30,66,98,67,100,True,59.0,
262,25,87,0,20,42,100,73,0,74,92,63,96,True,100.0,
263,21,90,0,20,42,52,84,0,13,88,83,100,True,74.0,
264,21,60,0,6,30,100,14,0,24,66,77,79,True,47.0,
265,18,130,0,0,0,100,62,0,84,100,0,100,True,0.0,
266,32,80,0,18,21,100,20,32,58,100,50,100,True,79.0,
267,36,80,0,24,24,100,0,0,8,83,100,100,True,0.0,
268,22,75,0,42,42,100,0,1,15,100,100,100,True,100.0,
269,35,107,0,12,42,100,97,70,100,100,39,77,True,12.0,
270,35,108,0,12,42,100,0,2,100,100,100,0,True,13.0,
271,25,100,0,20,20,100,0,0,21,100,6,100,True,24.0,
272,23,96,0,14,28,28,68,68,70,84,33,79,True,91.0,
273,38,95,0,16,27,83,0,0,63,75,13,100,True,75.0,
274,29,130,0,42,36,100,12,12,16,16,12,100,True,100.0,
275,25,84,0,8,0,100,71,0,37,69,69,100,True,18.0,
276,24,85,0,8,0,100,49,0,31,32,100,82,True,77.0,
277,30,81,0,12,20,100,72,0,22,100,0,100,True,55.0,
278,23,90,0,12,27,100,73,0,72,98,80,94,True,91.0,
279,22,100,0,22,32,100,20,28,86,100,31,100,True,83.0,
280,23,95,0,16,20,100,100,0,38,73,100,100,True,100.0,
281,46,90,0,8,42,70,100,0,0,18,0,100,True,0.0,
282,24,130,0,33,42,100,0,0,21,57,0,55,True,12.0,
283,29,95,1,12,18,100,100,0,100,100,100,100,True,,100.0
284,22,130,0,14,42,100,0,0,54,100,73,100,True,25.0,
285,33,85,0,42,42,91,0,1,13,13,16,100,True,55.0,
286,31,75,0,12,38,72,0,0,100,100,31,100,True,58.0,
287,22,81,0,21,35,88,0,0,0,84,0,100,True,20.0,
288,39,95,1,11,42,100,57,100,58,100,100,100,True,,100.0
289,53,90,1,14,32,100,0,0,20,69,0,100,True,,100.0
290,20,85,0,21,42,100,34,0,32,68,0,100,True,100.0,
291,31,98,0,7,15,100,40,1,47,64,86,100,True,100.0,
292,25,85,0,14,30,84,27,2,33,75,20,100,True,73.0,
293,28,82,0,15,25,84,12,0,52,78,33,100,True,72.0,
294,20,95,0,4,42,98,62,0,21,75,100,95,True,63.0,
295,25,85,0,14,18,100,0,15,39,42,86,55,True,85.0,
296,22,99,0,14,20,56,100,0,81,42,2,100,True,58.0,
297,22,100,0,14,0,87,13,0,74,100,96,100,True,79.0,
298,23,95,0,20,42,100,62,76,56,75,89,100,True,67.0,
299,29,103,0,28,42,79,74,21,82,76,65,100,True,86.0,
300,24,100,0,14,20,100,0,0,77,75,54,100,True,0.0,
301,34,130,0,8,42,100,100,25,100,100,34,100,True,21.0,
302,24,75,0,0,20,100,54,0,100,74,56,79,True,100.0,
303,45,101,1,12,31,100,68,72,57,78,49,100,True,,49.0
304,26,106,0,12,34,100,0,0,15,84,82,100,True,100.0,
305,25,50,0,12,42,100,22,0,0,100,70,100,True,0.0,
306,34,70,0,12,30,88,90,9,65,68,4,100,True,0.0,
307,29,78,0,12,42,100,49,0,33,100,19,100,True,19.0,
